investor_sector,project_sector,investor_location,project_location,investor_risk,project_risk,investor_size,project_size,past_return,expected_return,cosine_similarity,suitability_score,final_label
tech,tech,jeddah,jeddah,high,medium,medium,medium,0.091,0.18,0.501,7,1
tech,agriculture,dammam,jeddah,medium,high,small,small,0.149,0.089,0.481,1,0
agriculture,agriculture,jeddah,dammam,high,low,large,small,0.157,0.125,0.976,4,1
tech,tech,jeddah,jeddah,medium,low,medium,medium,0.091,0.128,0.507,7,1
agriculture,real_estate,jeddah,dammam,high,medium,large,medium,0.075,0.201,0.238,3,0
real_estate,tech,riyadh,riyadh,low,high,large,small,0.104,0.098,0.256,1,0
tech,tech,dammam,riyadh,high,medium,small,large,0.078,0.118,0.748,5,1
agriculture,tech,riyadh,dammam,medium,medium,large,small,0.151,0.117,0.045,2,0
agriculture,agriculture,dammam,jeddah,medium,medium,small,small,0.166,0.169,0.776,6,1
tech,agriculture,jeddah,dammam,low,high,small,small,0.09,0.153,0.987,2,1
agriculture,real_estate,dammam,jeddah,high,medium,medium,medium,0.128,0.147,0.765,4,0
agriculture,agriculture,riyadh,riyadh,medium,medium,large,small,0.15,0.158,0.544,6,0
tech,real_estate,dammam,riyadh,medium,high,large,medium,0.115,0.191,0.302,1,0
tech,agriculture,jeddah,dammam,high,medium,large,small,0.163,0.201,0.577,3,0
agriculture,real_estate,dammam,jeddah,high,high,large,small,0.152,0.132,0.524,2,0
agriculture,agriculture,dammam,riyadh,medium,low,small,small,0.141,0.202,0.777,6,1
real_estate,agriculture,riyadh,dammam,high,medium,medium,small,0.128,0.201,0.101,3,0
agriculture,tech,riyadh,jeddah,medium,medium,large,medium,0.136,0.171,1.0,3,1
agriculture,agriculture,jeddah,jeddah,low,low,large,large,0.124,0.197,0.54,7,1
agriculture,agriculture,riyadh,jeddah,medium,medium,large,large,0.15,0.101,0.728,5,1
agriculture,real_estate,jeddah,jeddah,high,high,large,small,0.157,0.132,0.981,3,1
real_estate,real_estate,jeddah,riyadh,low,high,medium,medium,0.105,0.191,0.287,4,0
real_estate,tech,jeddah,riyadh,high,medium,large,large,0.13,0.118,0.274,3,0
agriculture,agriculture,dammam,riyadh,medium,low,small,small,0.098,0.116,0.754,6,1
real_estate,real_estate,dammam,dammam,high,medium,medium,medium,0.147,0.201,0.564,7,1
tech,real_estate,riyadh,dammam,medium,medium,large,small,0.096,0.121,1.0,3,1
tech,tech,jeddah,jeddah,low,medium,small,small,0.109,0.183,0.291,5,0
agriculture,tech,riyadh,riyadh,low,medium,medium,medium,0.092,0.163,0.505,3,0
agriculture,tech,jeddah,riyadh,low,low,large,small,0.107,0.173,0.988,3,1
tech,real_estate,riyadh,jeddah,low,low,large,large,0.163,0.182,0.35,4,0
real_estate,agriculture,jeddah,jeddah,low,low,large,large,0.163,0.197,0.788,5,1
tech,tech,dammam,dammam,medium,medium,small,small,0.102,0.093,0.748,6,1
agriculture,agriculture,jeddah,riyadh,low,low,large,small,0.107,0.116,0.755,5,1
tech,tech,riyadh,dammam,medium,medium,medium,medium,0.169,0.175,0.78,6,1
real_estate,real_estate,jeddah,dammam,high,high,medium,medium,0.089,0.206,0.717,6,1
agriculture,agriculture,dammam,dammam,high,high,large,medium,0.154,0.173,0.999,6,1
real_estate,real_estate,jeddah,dammam,high,medium,medium,small,0.105,0.096,0.748,4,0
agriculture,agriculture,dammam,riyadh,low,low,small,small,0.122,0.202,0.538,6,0
tech,agriculture,riyadh,jeddah,medium,low,large,large,0.159,0.197,0.358,4,0
agriculture,tech,riyadh,riyadh,high,medium,small,small,0.132,0.194,0.771,5,1
tech,tech,riyadh,dammam,medium,high,large,small,0.085,0.193,0.257,3,0
tech,real_estate,riyadh,jeddah,low,high,small,medium,0.116,0.121,0.272,1,0
agriculture,agriculture,jeddah,jeddah,low,medium,large,medium,0.105,0.173,0.752,4,0
tech,agriculture,riyadh,jeddah,medium,medium,large,medium,0.096,0.173,0.979,3,1
agriculture,agriculture,riyadh,jeddah,medium,low,large,large,0.136,0.197,0.774,6,1
real_estate,real_estate,jeddah,jeddah,medium,medium,large,medium,0.133,0.125,0.281,5,0
agriculture,tech,dammam,riyadh,medium,high,small,large,0.177,0.152,0.762,0,0
agriculture,agriculture,jeddah,jeddah,medium,medium,small,medium,0.075,0.109,0.251,6,0
tech,real_estate,dammam,riyadh,low,high,medium,small,0.097,0.085,0.498,0,0
real_estate,tech,jeddah,dammam,low,medium,medium,large,0.126,0.15,0.295,1,0
agriculture,tech,dammam,dammam,high,medium,small,small,0.108,0.117,0.755,5,1
tech,real_estate,dammam,dammam,low,medium,small,small,0.161,0.121,0.513,2,0
tech,tech,jeddah,jeddah,low,medium,small,small,0.073,0.136,0.738,5,1
tech,real_estate,jeddah,dammam,medium,low,large,small,0.125,0.157,0.298,3,0
tech,real_estate,dammam,jeddah,low,medium,medium,medium,0.108,0.147,0.04,2,0
tech,real_estate,riyadh,jeddah,high,medium,large,small,0.083,0.121,0.996,3,1
tech,real_estate,jeddah,jeddah,medium,medium,large,medium,0.145,0.125,0.285,3,0
real_estate,real_estate,jeddah,dammam,low,low,medium,small,0.105,0.192,0.746,5,1
real_estate,real_estate,dammam,dammam,medium,low,large,large,0.073,0.091,0.75,7,1
tech,real_estate,riyadh,jeddah,high,medium,small,small,0.119,0.112,0.267,3,0
tech,tech,riyadh,riyadh,low,medium,medium,small,0.086,0.159,0.74,4,0
agriculture,agriculture,riyadh,riyadh,medium,low,small,small,0.148,0.177,0.555,7,1
tech,real_estate,dammam,jeddah,medium,low,large,large,0.159,0.182,0.564,4,0
tech,tech,jeddah,jeddah,high,medium,medium,large,0.141,0.177,0.775,6,1
agriculture,agriculture,riyadh,jeddah,medium,medium,large,large,0.141,0.101,0.735,5,1
real_estate,real_estate,jeddah,dammam,low,medium,medium,small,0.087,0.121,0.258,3,0
tech,tech,riyadh,riyadh,medium,medium,small,medium,0.155,0.186,0.782,6,1
tech,agriculture,jeddah,dammam,low,low,large,small,0.08,0.182,0.25,3,0
tech,tech,dammam,jeddah,medium,low,small,medium,0.102,0.152,0.755,5,1
agriculture,agriculture,riyadh,dammam,high,medium,medium,small,0.109,0.201,0.747,5,1
agriculture,tech,riyadh,riyadh,medium,medium,large,large,0.104,0.118,0.51,5,0
agriculture,tech,jeddah,dammam,high,low,medium,small,0.072,0.141,0.49,3,0
agriculture,agriculture,jeddah,dammam,high,high,small,small,0.144,0.215,0.565,6,0
agriculture,tech,dammam,dammam,low,medium,large,large,0.166,0.15,0.542,2,0
tech,agriculture,dammam,riyadh,high,medium,medium,small,0.147,0.158,0.089,3,0
real_estate,real_estate,jeddah,jeddah,medium,medium,medium,medium,0.12,0.125,0.517,7,1
agriculture,agriculture,jeddah,jeddah,low,low,small,large,0.165,0.197,0.788,6,1
tech,agriculture,riyadh,dammam,low,low,small,small,0.116,0.125,0.516,4,0
agriculture,agriculture,dammam,riyadh,medium,low,small,small,0.143,0.116,0.746,5,1
agriculture,real_estate,dammam,jeddah,low,high,large,small,0.131,0.13,0.284,0,0
real_estate,tech,riyadh,dammam,medium,medium,small,small,0.091,0.093,0.004,4,0
agriculture,real_estate,riyadh,jeddah,low,high,large,small,0.12,0.13,0.759,1,0
agriculture,agriculture,dammam,riyadh,medium,medium,large,small,0.109,0.158,0.284,5,0
agriculture,agriculture,dammam,dammam,low,low,medium,medium,0.095,0.166,0.508,7,1
real_estate,agriculture,riyadh,riyadh,high,medium,large,small,0.093,0.118,1.0,4,1
real_estate,real_estate,jeddah,riyadh,high,medium,large,small,0.118,0.174,0.763,5,1
agriculture,agriculture,jeddah,jeddah,high,medium,large,medium,0.157,0.173,0.778,6,1
real_estate,agriculture,jeddah,riyadh,medium,medium,medium,small,0.144,0.118,0.043,2,0
agriculture,agriculture,dammam,dammam,medium,low,small,small,0.098,0.125,0.51,7,1
real_estate,tech,jeddah,riyadh,medium,medium,small,large,0.129,0.114,0.271,2,0
agriculture,agriculture,dammam,dammam,medium,low,small,small,0.125,0.165,0.535,7,1
real_estate,agriculture,jeddah,riyadh,medium,low,medium,small,0.111,0.202,0.298,3,0
tech,tech,jeddah,jeddah,high,medium,medium,small,0.1,0.138,0.755,6,1
tech,agriculture,riyadh,riyadh,high,low,large,small,0.083,0.119,0.008,4,0
tech,tech,jeddah,jeddah,low,low,small,medium,0.151,0.152,0.086,6,0
agriculture,real_estate,dammam,riyadh,medium,high,medium,medium,0.076,0.176,0.718,2,0
tech,agriculture,riyadh,jeddah,medium,medium,small,large,0.09,0.085,0.002,2,0
tech,tech,dammam,dammam,medium,medium,medium,medium,0.152,0.088,0.712,6,1
tech,agriculture,jeddah,jeddah,medium,medium,medium,large,0.092,0.181,0.268,4,0
agriculture,tech,dammam,riyadh,medium,low,small,small,0.143,0.173,1.0,4,1
real_estate,real_estate,riyadh,dammam,low,low,large,small,0.137,0.192,0.774,5,1
agriculture,agriculture,riyadh,jeddah,high,medium,small,small,0.08,0.169,0.252,6,0
tech,tech,jeddah,riyadh,high,low,large,small,0.08,0.15,0.738,5,1
real_estate,agriculture,dammam,dammam,high,low,medium,small,0.162,0.125,0.972,3,1
real_estate,tech,jeddah,jeddah,medium,medium,small,medium,0.17,0.18,0.568,4,0
agriculture,agriculture,riyadh,riyadh,medium,low,large,small,0.104,0.119,1.0,6,1
tech,real_estate,jeddah,dammam,low,low,large,small,0.15,0.192,0.781,3,0
tech,tech,jeddah,dammam,medium,medium,medium,large,0.104,0.206,0.739,5,1
agriculture,tech,jeddah,jeddah,medium,medium,medium,medium,0.164,0.171,0.777,5,1
tech,tech,dammam,riyadh,medium,medium,medium,small,0.139,0.187,0.998,5,1
agriculture,real_estate,jeddah,riyadh,low,medium,large,small,0.077,0.174,0.484,1,0
real_estate,tech,riyadh,dammam,medium,medium,large,medium,0.145,0.175,0.552,3,0
agriculture,real_estate,dammam,dammam,low,low,large,large,0.086,0.091,0.252,5,0
real_estate,tech,dammam,dammam,medium,medium,small,small,0.077,0.128,0.744,5,1
real_estate,real_estate,dammam,dammam,medium,low,medium,large,0.087,0.08,0.748,5,1
agriculture,agriculture,dammam,riyadh,medium,low,medium,small,0.08,0.177,0.723,5,1
tech,agriculture,jeddah,dammam,medium,medium,large,small,0.079,0.201,0.246,3,0
tech,tech,jeddah,dammam,high,medium,small,large,0.118,0.206,0.756,5,1
real_estate,agriculture,dammam,jeddah,high,medium,large,large,0.175,0.085,0.459,3,0
agriculture,tech,jeddah,jeddah,low,medium,small,medium,0.121,0.114,0.269,1,0
tech,tech,jeddah,riyadh,high,high,medium,large,0.144,0.152,0.768,5,1
agriculture,agriculture,riyadh,riyadh,medium,low,medium,small,0.128,0.177,0.769,6,1
tech,tech,jeddah,riyadh,high,medium,large,large,0.163,0.139,0.756,5,1
tech,tech,riyadh,riyadh,medium,medium,small,large,0.095,0.117,0.754,6,1
tech,tech,jeddah,jeddah,high,low,medium,medium,0.1,0.152,0.513,7,1
real_estate,real_estate,dammam,jeddah,low,high,small,small,0.173,0.132,0.968,3,1
tech,agriculture,riyadh,riyadh,medium,medium,small,small,0.165,0.118,0.508,4,0
real_estate,agriculture,dammam,jeddah,medium,low,large,large,0.173,0.197,0.79,4,1
real_estate,tech,jeddah,dammam,high,medium,medium,medium,0.114,0.088,0.251,3,0
agriculture,agriculture,jeddah,riyadh,medium,low,medium,small,0.135,0.202,0.553,5,0
tech,tech,riyadh,riyadh,high,medium,large,large,0.079,0.117,0.501,7,1
tech,tech,jeddah,jeddah,medium,medium,large,small,0.149,0.138,0.76,5,1
tech,real_estate,dammam,dammam,high,medium,medium,medium,0.15,0.201,0.783,5,1
real_estate,agriculture,dammam,jeddah,low,medium,large,large,0.154,0.085,0.94,1,0
tech,agriculture,dammam,dammam,medium,high,medium,medium,0.141,0.173,0.548,3,0
agriculture,agriculture,riyadh,riyadh,high,medium,small,small,0.112,0.158,0.76,7,1
real_estate,tech,jeddah,jeddah,medium,medium,small,small,0.107,0.115,0.754,5,1
tech,tech,jeddah,jeddah,medium,medium,large,small,0.136,0.138,0.762,6,1
tech,agriculture,dammam,dammam,low,low,large,medium,0.114,0.081,0.246,3,0
agriculture,agriculture,riyadh,riyadh,medium,low,large,small,0.151,0.119,0.512,5,0
agriculture,agriculture,dammam,dammam,low,low,small,medium,0.162,0.081,0.693,5,1
tech,tech,dammam,riyadh,medium,medium,large,large,0.115,0.118,0.755,6,1
agriculture,agriculture,riyadh,dammam,high,low,small,medium,0.132,0.136,0.053,5,0
tech,tech,riyadh,jeddah,low,low,small,medium,0.146,0.128,0.987,4,1
agriculture,real_estate,jeddah,jeddah,medium,medium,medium,large,0.072,0.192,0.468,4,0
tech,tech,riyadh,riyadh,high,high,large,small,0.079,0.098,0.75,6,1
agriculture,agriculture,jeddah,jeddah,medium,medium,small,medium,0.075,0.173,0.244,6,0
real_estate,real_estate,jeddah,jeddah,medium,high,small,medium,0.107,0.121,0.512,4,0
tech,tech,dammam,dammam,high,medium,medium,small,0.147,0.083,0.004,5,0
tech,real_estate,riyadh,jeddah,medium,high,small,medium,0.106,0.08,0.247,0,0
agriculture,agriculture,dammam,riyadh,high,high,large,small,0.09,0.172,0.265,5,0
agriculture,agriculture,riyadh,riyadh,low,low,small,small,0.093,0.177,0.504,7,1
real_estate,tech,riyadh,jeddah,medium,medium,medium,medium,0.094,0.171,0.506,4,0
agriculture,agriculture,jeddah,jeddah,medium,medium,large,large,0.167,0.181,0.567,7,1
tech,tech,riyadh,dammam,medium,low,small,small,0.165,0.141,0.309,5,0
agriculture,agriculture,jeddah,dammam,medium,medium,medium,medium,0.083,0.094,0.252,6,0
real_estate,real_estate,riyadh,dammam,medium,low,large,small,0.105,0.157,0.756,5,1
real_estate,tech,dammam,riyadh,high,medium,small,large,0.09,0.139,0.506,3,0
real_estate,agriculture,jeddah,jeddah,high,medium,small,medium,0.155,0.16,0.996,4,1
tech,tech,dammam,dammam,high,medium,small,small,0.132,0.093,0.253,6,0
tech,tech,jeddah,riyadh,medium,medium,small,small,0.07,0.194,0.695,6,1
agriculture,agriculture,riyadh,riyadh,medium,low,medium,small,0.17,0.116,0.73,5,1
tech,tech,jeddah,riyadh,high,high,large,medium,0.107,0.181,0.752,5,1
real_estate,real_estate,jeddah,riyadh,medium,medium,medium,small,0.128,0.174,0.539,5,0
real_estate,agriculture,jeddah,riyadh,high,medium,medium,small,0.141,0.158,0.541,3,0
tech,agriculture,dammam,dammam,high,low,small,small,0.109,0.125,0.757,5,1
agriculture,tech,riyadh,dammam,medium,medium,medium,medium,0.125,0.088,0.249,3,0
real_estate,real_estate,riyadh,dammam,high,low,medium,small,0.14,0.192,0.776,5,1
agriculture,tech,jeddah,riyadh,medium,medium,medium,large,0.135,0.117,0.512,2,0
tech,tech,riyadh,jeddah,low,medium,large,small,0.163,0.115,0.277,2,0
agriculture,tech,riyadh,jeddah,high,medium,medium,medium,0.109,0.114,0.999,4,1
agriculture,real_estate,jeddah,jeddah,medium,medium,large,small,0.091,0.112,0.505,4,0
agriculture,agriculture,jeddah,riyadh,medium,medium,small,small,0.139,0.158,0.77,6,1
tech,agriculture,riyadh,dammam,medium,low,small,small,0.18,0.165,0.344,3,0
tech,agriculture,jeddah,riyadh,medium,low,large,small,0.096,0.116,0.507,3,0
real_estate,real_estate,jeddah,dammam,low,medium,small,medium,0.13,0.201,0.99,3,1
real_estate,real_estate,dammam,riyadh,high,high,medium,medium,0.155,0.176,0.779,6,1
tech,agriculture,riyadh,dammam,low,low,small,small,0.114,0.125,0.273,4,0
tech,agriculture,riyadh,jeddah,medium,medium,small,large,0.09,0.101,0.007,3,0
agriculture,agriculture,dammam,riyadh,low,high,large,medium,0.115,0.15,0.524,3,0
agriculture,agriculture,dammam,riyadh,high,medium,small,small,0.074,0.139,0.982,6,1
tech,real_estate,riyadh,riyadh,high,high,large,large,0.106,0.13,0.757,5,1
agriculture,tech,jeddah,jeddah,low,medium,large,medium,0.134,0.114,0.272,1,0
tech,tech,riyadh,riyadh,low,high,medium,medium,0.1,0.181,0.745,5,1
tech,tech,riyadh,jeddah,medium,low,medium,medium,0.086,0.152,0.018,6,0
tech,tech,dammam,riyadh,medium,medium,small,small,0.149,0.194,0.781,6,1
real_estate,real_estate,jeddah,jeddah,medium,medium,medium,medium,0.166,0.125,0.742,6,1
tech,real_estate,riyadh,riyadh,medium,low,medium,medium,0.086,0.201,0.715,5,1
agriculture,agriculture,riyadh,jeddah,medium,medium,large,medium,0.15,0.16,0.546,5,0
tech,real_estate,riyadh,jeddah,medium,low,large,large,0.096,0.182,0.273,4,0
real_estate,agriculture,dammam,jeddah,medium,medium,small,large,0.077,0.101,0.252,3,0
tech,agriculture,dammam,jeddah,high,medium,small,large,0.109,0.085,0.495,2,0
tech,real_estate,riyadh,dammam,medium,medium,small,small,0.175,0.096,0.475,3,0
tech,agriculture,jeddah,dammam,high,low,large,small,0.163,0.165,0.113,3,0
agriculture,agriculture,dammam,dammam,low,low,large,small,0.126,0.125,0.757,5,1
real_estate,real_estate,jeddah,jeddah,medium,medium,medium,large,0.149,0.192,0.344,6,0
tech,tech,jeddah,riyadh,medium,medium,medium,small,0.124,0.159,0.766,5,1
agriculture,agriculture,riyadh,riyadh,low,low,small,small,0.093,0.202,0.953,7,1
tech,agriculture,dammam,dammam,high,medium,small,small,0.165,0.201,0.789,5,1
real_estate,real_estate,riyadh,riyadh,medium,high,medium,medium,0.176,0.191,0.788,5,1
tech,agriculture,jeddah,jeddah,medium,medium,medium,large,0.17,0.181,0.354,4,0
real_estate,agriculture,jeddah,jeddah,high,medium,medium,small,0.073,0.101,0.5,4,0
tech,agriculture,riyadh,jeddah,medium,medium,small,medium,0.16,0.173,0.998,3,1
tech,tech,jeddah,jeddah,low,low,large,medium,0.108,0.128,0.514,6,0
real_estate,real_estate,jeddah,dammam,high,low,large,large,0.13,0.091,0.733,5,1
tech,agriculture,riyadh,dammam,high,low,medium,medium,0.139,0.166,1.0,4,1
real_estate,agriculture,dammam,dammam,high,low,large,medium,0.123,0.166,0.533,4,0
agriculture,tech,dammam,riyadh,low,high,large,medium,0.131,0.181,0.544,1,0
agriculture,agriculture,jeddah,riyadh,medium,medium,small,small,0.155,0.158,0.546,6,0
real_estate,real_estate,riyadh,dammam,low,medium,large,large,0.137,0.211,0.99,4,1
real_estate,agriculture,jeddah,jeddah,medium,medium,medium,medium,0.14,0.109,0.505,4,0
tech,tech,dammam,riyadh,high,medium,large,large,0.077,0.118,0.499,6,0
real_estate,real_estate,jeddah,jeddah,high,medium,medium,large,0.158,0.192,1.0,6,1
real_estate,real_estate,jeddah,dammam,high,medium,medium,medium,0.141,0.201,0.777,6,1
tech,agriculture,dammam,jeddah,high,medium,small,large,0.109,0.085,0.988,2,1
real_estate,agriculture,dammam,riyadh,medium,low,small,small,0.095,0.116,1.0,4,1
agriculture,agriculture,jeddah,jeddah,medium,medium,medium,medium,0.086,0.109,0.504,7,1
tech,tech,jeddah,jeddah,high,low,medium,medium,0.141,0.152,0.537,7,1
agriculture,real_estate,dammam,jeddah,high,high,small,small,0.108,0.132,0.273,4,0
tech,tech,dammam,riyadh,high,medium,medium,small,0.106,0.194,0.746,5,1
real_estate,agriculture,jeddah,riyadh,medium,low,large,small,0.114,0.202,0.977,3,1
agriculture,real_estate,jeddah,riyadh,medium,low,medium,medium,0.124,0.201,0.986,4,1
tech,tech,riyadh,riyadh,medium,medium,small,small,0.155,0.159,0.547,7,1
tech,real_estate,dammam,jeddah,medium,high,large,medium,0.078,0.08,0.75,1,0
agriculture,tech,dammam,jeddah,low,low,large,medium,0.131,0.128,0.045,2,0
tech,tech,riyadh,jeddah,low,medium,small,small,0.129,0.138,0.525,4,0
real_estate,real_estate,riyadh,riyadh,medium,high,small,large,0.179,0.13,0.519,3,0
real_estate,agriculture,jeddah,jeddah,medium,medium,small,large,0.107,0.085,0.249,3,0
tech,tech,dammam,jeddah,high,medium,small,medium,0.132,0.171,0.313,5,0
tech,real_estate,jeddah,jeddah,medium,medium,small,large,0.172,0.192,0.367,4,0
tech,agriculture,riyadh,jeddah,medium,medium,small,medium,0.165,0.109,0.726,2,0
tech,tech,riyadh,dammam,medium,medium,large,medium,0.085,0.088,0.999,5,1
tech,tech,dammam,dammam,medium,medium,large,medium,0.159,0.088,0.706,5,1
agriculture,real_estate,jeddah,jeddah,medium,low,large,large,0.074,0.182,0.711,5,1
tech,agriculture,jeddah,riyadh,medium,medium,large,large,0.079,0.191,0.247,4,0
real_estate,tech,riyadh,jeddah,medium,medium,small,medium,0.14,0.171,0.32,3,0
real_estate,agriculture,riyadh,riyadh,medium,medium,large,large,0.085,0.191,0.953,5,1
tech,real_estate,dammam,jeddah,medium,high,small,small,0.144,0.13,0.289,1,0
tech,tech,riyadh,riyadh,medium,medium,medium,small,0.087,0.194,0.722,6,1
tech,real_estate,jeddah,riyadh,medium,high,large,small,0.125,0.085,0.489,0,0
tech,tech,riyadh,dammam,medium,medium,small,large,0.085,0.206,0.71,5,1
tech,tech,dammam,riyadh,medium,medium,medium,medium,0.125,0.163,0.767,6,1
agriculture,tech,riyadh,dammam,medium,medium,large,small,0.151,0.128,0.29,2,0
tech,agriculture,jeddah,jeddah,low,low,medium,large,0.176,0.197,0.791,4,1
agriculture,agriculture,riyadh,dammam,medium,low,medium,small,0.102,0.125,0.756,5,1
tech,tech,jeddah,jeddah,high,medium,medium,medium,0.141,0.18,0.551,7,1
tech,tech,jeddah,riyadh,medium,low,medium,small,0.091,0.173,0.738,5,1
real_estate,tech,dammam,dammam,medium,medium,large,large,0.173,0.206,0.793,5,1
tech,tech,riyadh,riyadh,medium,low,small,small,0.159,0.183,0.782,7,1
tech,real_estate,jeddah,dammam,low,low,small,large,0.09,0.091,0.75,3,0
tech,agriculture,dammam,jeddah,medium,medium,medium,large,0.141,0.085,0.243,2,0
tech,tech,riyadh,riyadh,medium,high,large,large,0.089,0.152,0.745,5,1
real_estate,tech,jeddah,riyadh,low,medium,medium,large,0.126,0.139,0.051,1,0
tech,tech,riyadh,dammam,medium,medium,medium,medium,0.081,0.175,0.725,6,1
tech,tech,jeddah,dammam,high,medium,large,small,0.107,0.117,0.266,5,0
agriculture,agriculture,jeddah,riyadh,medium,medium,small,small,0.155,0.118,0.742,5,1
tech,tech,jeddah,riyadh,medium,medium,large,large,0.145,0.117,0.746,5,1
real_estate,tech,riyadh,jeddah,medium,medium,medium,medium,0.147,0.18,0.111,4,0
agriculture,agriculture,riyadh,riyadh,high,high,small,small,0.112,0.172,0.525,7,1
agriculture,agriculture,dammam,riyadh,medium,low,small,small,0.139,0.202,0.557,6,0
tech,agriculture,dammam,jeddah,medium,medium,small,medium,0.157,0.173,0.337,3,0
tech,tech,riyadh,riyadh,high,low,large,small,0.089,0.183,0.731,6,1
